              column_name    Test ID                             Test Case Description                                                Input Data                                                             Expected Result
0   Year of Incorporation  TC_DB_001          Validate future year beyond current year                                                      2035    Fail — violates business rule (Cannot be in future; CurrentYear ≥ Value)
1   Year of Incorporation  TC_DB_002         Validate extremely old year (before 1800)                                                      1750                                      Fail — violates lower boundary (≥1800)
2   Year of Incorporation  TC_DB_003        Validate boundary year (exact lower limit)                                                      1800                                               Pass — meets minimum boundary
3   Year of Incorporation  TC_DB_004                            Validate Y2K edge case                                                      2000                                   Pass — valid YYYY format and within range
4   Year of Incorporation  TC_DB_005                      Validate invalid format year                                                    "20O0"                                  Fail — regex + numeric constraint violated
5             Recent News  TC_DB_006                  Validate future-dated news entry  "2030-01-01 - Company raises funding - https://news.com"                          Fail — violates rule (must be within last 2 years)
6             Recent News  TC_DB_007                      Validate very old news entry   "1995-05-10 - Company founded story - https://news.com"                            Fail — outside allowed date range (last 2 years)
7             Recent News  TC_DB_008     Validate boundary valid date (within 2 years)          "2025-01-01 - Expansion news - https://news.com"                                                Pass — within valid timeline
8             Recent News  TC_DB_009                    Validate malformed date format                              "01-01-2025 - News headline"                            Fail — violates expected structured date parsing
9   Recent Funding Rounds  TC_DB_010                      Validate future funding date                                        "2032-12-01 - $5M"                                       Fail — funding cannot occur in future
10  Recent Funding Rounds  TC_DB_011                    Validate very old funding date                                        "1800-01-01 - $1M"                                Fail — unrealistic / violates business logic
11  Recent Funding Rounds  TC_DB_012                         Validate Y2K funding date                                        "2000-01-01 - $2M"                          Pass — valid format and acceptable historical data
12  Recent Funding Rounds  TC_DB_013                      Validate invalid date format                                        "01/01/2020 - $3M"                                 Fail — violates regex (YYYY-MM-DD required)
13     Future Projections  TC_DB_014          Validate past year in future projections                               "2020 - Revenue Growth 20%"                            Fail — violates rule (must be future years only)
14     Future Projections  TC_DB_015                  Validate valid future projection                               "2027 - Revenue Growth 30%"                                      Pass — satisfies future timeline logic
15     Future Projections  TC_DB_016              Validate far future unrealistic year                                 "2100 - Market expansion"  Pass — format valid (no strict upper bound, but flag as warning if needed)
16     Innovation Roadmap  TC_DB_017                  Validate roadmap with past dates                             "2022 Q1 - AI feature launch"                                 Fail — roadmap must contain future timeline
17     Innovation Roadmap  TC_DB_018        Validate roadmap with valid future quarter                          "2026 Q3 - New platform release"                                             Pass — satisfies temporal logic
18         Layoff History  TC_DB_019                     Validate future layoff record                          "2030 - 20% workforce reduction"                                           Fail — cannot have future layoffs
19         Layoff History  TC_DB_020                  Validate valid historical layoff                                    "2023 - 10% reduction"                                                     Pass — valid past event
20    Event Participation  TC_DB_021  Validate future event incorrectly marked as past                               "2030 Tech Summit attended"                                                Fail — logical inconsistency
21    Event Participation  TC_DB_022                       Validate valid recent event                            "2024 AI Summit participation"                                                Pass — valid recent timeline
